Vendor,"GRAPHTEC Corporation"
Model,"GL220"
Version,"Ver1.05  "
Sampling interval,2s
Total data points,764       
Start time,2015-05-29,15:14:48
End time,2015-05-29,15:40:14
Trigger time,2015-05-29,15:14:48
AMP settings
CH,Signal name,Input,Range,Filter,Span
CH1," CH 1",TEMP,TC_K,Off,+440.0,+140.0,[degF]
Logic/Pulse,Off
Data
Number,Date&Time,ms,CH1,Alarm1  -10 ,Alarm Out
NO.,Time, ms,"degF","A12345678910","AO1234"
         1,2015/05/29 15:14:48,  0,+204.4,LLLLLLLLLL,LLLL
         2,2015/05/29 15:14:50,  0,+205.3,LLLLLLLLLL,LLLL
         3,2015/05/29 15:14:52,  0,+205.7,LLLLLLLLLL,LLLL
         4,2015/05/29 15:14:54,  0,+206.2,LLLLLLLLLL,LLLL
         5,2015/05/29 15:14:56,  0,+207.0,LLLLLLLLLL,LLLL
         6,2015/05/29 15:14:58,  0,+207.5,LLLLLLLLLL,LLLL
         7,2015/05/29 15:15:00,  0,+208.4,LLLLLLLLLL,LLLL
         8,2015/05/29 15:15:02,  0,+209.1,LLLLLLLLLL,LLLL
         9,2015/05/29 15:15:04,  0,+210.0,LLLLLLLLLL,LLLL
        10,2015/05/29 15:15:06,  0,+210.7,LLLLLLLLLL,LLLL
        11,2015/05/29 15:15:08,  0,+211.5,LLLLLLLLLL,LLLL
        12,2015/05/29 15:15:10,  0,+212.0,LLLLLLLLLL,LLLL
        13,2015/05/29 15:15:12,  0,+212.5,LLLLLLLLLL,LLLL
        14,2015/05/29 15:15:14,  0,+212.9,LLLLLLLLLL,LLLL
        15,2015/05/29 15:15:16,  0,+213.6,LLLLLLLLLL,LLLL
        16,2015/05/29 15:15:18,  0,+213.8,LLLLLLLLLL,LLLL
        17,2015/05/29 15:15:20,  0,+214.2,LLLLLLLLLL,LLLL
        18,2015/05/29 15:15:22,  0,+214.3,LLLLLLLLLL,LLLL
        19,2015/05/29 15:15:24,  0,+214.3,LLLLLLLLLL,LLLL
        20,2015/05/29 15:15:26,  0,+214.9,LLLLLLLLLL,LLLL
        21,2015/05/29 15:15:28,  0,+215.1,LLLLLLLLLL,LLLL
        22,2015/05/29 15:15:30,  0,+214.9,LLLLLLLLLL,LLLL
        23,2015/05/29 15:15:32,  0,+215.4,LLLLLLLLLL,LLLL
        24,2015/05/29 15:15:34,  0,+215.4,LLLLLLLLLL,LLLL
        25,2015/05/29 15:15:36,  0,+215.4,LLLLLLLLLL,LLLL
        26,2015/05/29 15:15:38,  0,+215.4,LLLLLLLLLL,LLLL
        27,2015/05/29 15:15:40,  0,+215.8,LLLLLLLLLL,LLLL
        28,2015/05/29 15:15:42,  0,+215.8,LLLLLLLLLL,LLLL
        29,2015/05/29 15:15:44,  0,+215.8,LLLLLLLLLL,LLLL
        30,2015/05/29 15:15:46,  0,+215.8,LLLLLLLLLL,LLLL
        31,2015/05/29 15:15:48,  0,+216.0,LLLLLLLLLL,LLLL
        32,2015/05/29 15:15:50,  0,+216.1,LLLLLLLLLL,LLLL
        33,2015/05/29 15:15:52,  0,+216.1,LLLLLLLLLL,LLLL
        34,2015/05/29 15:15:54,  0,+216.5,LLLLLLLLLL,LLLL
        35,2015/05/29 15:15:56,  0,+216.3,LLLLLLLLLL,LLLL
        36,2015/05/29 15:15:58,  0,+217.0,LLLLLLLLLL,LLLL
        37,2015/05/29 15:16:00,  0,+216.7,LLLLLLLLLL,LLLL
        38,2015/05/29 15:16:02,  0,+216.7,LLLLLLLLLL,LLLL
        39,2015/05/29 15:16:04,  0,+216.9,LLLLLLLLLL,LLLL
        40,2015/05/29 15:16:06,  0,+216.7,LLLLLLLLLL,LLLL
