Vendor,"GRAPHTEC Corporation"
Model,"GL220"
Version,"Ver1.05  "
Sampling interval,2s
Total data points,764       
Start time,2015-06-02,13:04:17
End time,2015-06-02,13:29:44
Trigger time,2015-06-02,13:04:17
AMP settings
CH,Signal name,Input,Range,Filter,Span
CH1," CH 1",TEMP,TC_K,Off,+440.0,+140.0,[degF]
CH2," CH 2",TEMP,TC_K,Off,+2000.0,-200.0,[degF]
CH3," CH 3",TEMP,TC_K,Off,+3000.0,-200.0,[degF]
Logic/Pulse,Off
Data
Number,Date&Time,ms,CH1,CH2,CH3,Alarm1  -10 ,Alarm Out
NO.,Time, ms,"degF","degF","degF","A12345678910","AO1234"
       542,2015/06/02 13:22:19,  0,+366.4,+337.3,+371.3,LLLLLLLLLL,LLLL
       543,2015/06/02 13:22:21,  0,+368.1,+337.8,+371.7,LLLLLLLLLL,LLLL
       544,2015/06/02 13:22:23,  0,+369.0,+338.4,+372.6,LLLLLLLLLL,LLLL
       545,2015/06/02 13:22:25,  0,+366.8,+338.9,+373.6,LLLLLLLLLL,LLLL
       546,2015/06/02 13:22:27,  0,+370.0,+339.4,+374.5,LLLLLLLLLL,LLLL
       547,2015/06/02 13:22:29,  0,+371.7,+340.0,+375.3,LLLLLLLLLL,LLLL
       548,2015/06/02 13:22:31,  0,+372.6,+340.7,+376.3,LLLLLLLLLL,LLLL
       549,2015/06/02 13:22:33,  0,+373.6,+341.4,+376.9,LLLLLLLLLL,LLLL
       550,2015/06/02 13:22:35,  0,+374.2,+342.1,+377.6,LLLLLLLLLL,LLLL
       551,2015/06/02 13:22:37,  0,+374.9,+342.9,+378.3,LLLLLLLLLL,LLLL
       552,2015/06/02 13:22:39,  0,+375.8,+343.6,+379.2,LLLLLLLLLL,LLLL
       553,2015/06/02 13:22:41,  0,+376.9,+344.3,+380.1,LLLLLLLLLL,LLLL
       554,2015/06/02 13:22:43,  0,+377.4,+344.8,+380.7,LLLLLLLLLL,LLLL
       555,2015/06/02 13:22:45,  0,+377.2,+345.7,+381.6,LLLLLLLLLL,LLLL
       556,2015/06/02 13:22:47,  0,+376.5,+346.5,+382.1,LLLLLLLLLL,LLLL
       557,2015/06/02 13:22:49,  0,+375.6,+347.0,+382.6,LLLLLLLLLL,LLLL
       558,2015/06/02 13:22:51,  0,+375.1,+347.7,+383.9,LLLLLLLLLL,LLLL
       559,2015/06/02 13:22:53,  0,+374.9,+348.3,+384.6,LLLLLLLLLL,LLLL
       560,2015/06/02 13:22:55,  0,+375.8,+348.8,+385.2,LLLLLLLLLL,LLLL
       561,2015/06/02 13:22:57,  0,+376.0,+349.3,+385.7,LLLLLLLLLL,LLLL
       562,2015/06/02 13:22:59,  0,+376.7,+349.7,+386.4,LLLLLLLLLL,LLLL
       563,2015/06/02 13:23:01,  0,+378.3,+350.6,+387.1,LLLLLLLLLL,LLLL
       564,2015/06/02 13:23:03,  0,+379.0,+351.1,+387.7,LLLLLLLLLL,LLLL
       565,2015/06/02 13:23:05,  0,+379.0,+351.7,+388.4,LLLLLLLLLL,LLLL
       566,2015/06/02 13:23:07,  0,+380.3,+352.6,+388.9,LLLLLLLLLL,LLLL
       567,2015/06/02 13:23:09,  0,+379.9,+352.9,+389.8,LLLLLLLLLL,LLLL
       568,2015/06/02 13:23:11,  0,+381.9,+353.5,+390.6,LLLLLLLLLL,LLLL
       569,2015/06/02 13:23:13,  0,+381.9,+354.4,+391.1,LLLLLLLLLL,LLLL
       570,2015/06/02 13:23:15,  0,+380.5,+354.9,+392.2,LLLLLLLLLL,LLLL
       571,2015/06/02 13:23:17,  0,+382.1,+355.5,+393.1,LLLLLLLLLL,LLLL
       572,2015/06/02 13:23:19,  0,+385.2,+356.2,+394.0,LLLLLLLLLL,LLLL
       573,2015/06/02 13:23:21,  0,+385.5,+357.1,+394.7,LLLLLLLLLL,LLLL
       574,2015/06/02 13:23:23,  0,+387.3,+357.6,+395.6,LLLLLLLLLL,LLLL
       575,2015/06/02 13:23:25,  0,+388.2,+358.5,+396.3,LLLLLLLLLL,LLLL
       576,2015/06/02 13:23:27,  0,+388.9,+359.2,+397.0,LLLLLLLLLL,LLLL
       577,2015/06/02 13:23:29,  0,+390.6,+360.0,+397.6,LLLLLLLLLL,LLLL
       578,2015/06/02 13:23:31,  0,+391.1,+360.5,+398.5,LLLLLLLLLL,LLLL
       579,2015/06/02 13:23:33,  0,+391.6,+361.4,+399.4,LLLLLLLLLL,LLLL
       580,2015/06/02 13:23:35,  0,+392.2,+362.1,+400.1,LLLLLLLLLL,LLLL
       581,2015/06/02 13:23:37,  0,+391.5,+363.0,+400.8,LLLLLLLLLL,LLLL
       582,2015/06/02 13:23:39,  0,+391.6,+363.6,+401.5,LLLLLLLLLL,LLLL
       583,2015/06/02 13:23:41,  0,+391.5,+364.1,+402.8,LLLLLLLLLL,LLLL
       584,2015/06/02 13:23:43,  0,+392.2,+364.8,+403.2,LLLLLLLLLL,LLLL
       585,2015/06/02 13:23:45,  0,+392.0,+365.4,+404.1,LLLLLLLLLL,LLLL
       586,2015/06/02 13:23:47,  0,+392.0,+366.1,+404.4,LLLLLLLLLL,LLLL
       587,2015/06/02 13:23:49,  0,+393.1,+366.6,+405.1,LLLLLLLLLL,LLLL
       588,2015/06/02 13:23:51,  0,+393.4,+367.3,+405.7,LLLLLLLLLL,LLLL
       589,2015/06/02 13:23:53,  0,+393.4,+367.9,+406.2,LLLLLLLLLL,LLLL
       590,2015/06/02 13:23:55,  0,+393.6,+368.6,+406.9,LLLLLLLLLL,LLLL
       591,2015/06/02 13:23:57,  0,+394.7,+369.1,+407.5,LLLLLLLLLL,LLLL
       592,2015/06/02 13:23:59,  0,+396.0,+370.0,+408.2,LLLLLLLLLL,LLLL
       593,2015/06/02 13:24:01,  0,+396.3,+370.6,+408.9,LLLLLLLLLL,LLLL
       594,2015/06/02 13:24:03,  0,+397.9,+371.3,+410.0,LLLLLLLLLL,LLLL
       595,2015/06/02 13:24:05,  0,+396.0,+372.0,+410.9,LLLLLLLLLL,LLLL
       596,2015/06/02 13:24:07,  0,+397.4,+372.4,+411.8,LLLLLLLLLL,LLLL
       597,2015/06/02 13:24:09,  0,+400.6,+373.3,+412.5,LLLLLLLLLL,LLLL
       598,2015/06/02 13:24:11,  0,+401.5,+374.0,+413.2,LLLLLLLLLL,LLLL
       599,2015/06/02 13:24:13,  0,+403.0,+374.9,+414.1,LLLLLLLLLL,LLLL
       600,2015/06/02 13:24:15,  0,+403.9,+375.8,+415.0,LLLLLLLLLL,LLLL
       601,2015/06/02 13:24:17,  0,+404.6,+376.3,+415.9,LLLLLLLLLL,LLLL
       602,2015/06/02 13:24:19,  0,+405.3,+377.2,+416.5,LLLLLLLLLL,LLLL
       603,2015/06/02 13:24:21,  0,+405.9,+377.8,+417.2,LLLLLLLLLL,LLLL
       604,2015/06/02 13:24:23,  0,+407.1,+378.7,+418.1,LLLLLLLLLL,LLLL
       605,2015/06/02 13:24:25,  0,+407.7,+379.6,+418.6,LLLLLLLLLL,LLLL
       606,2015/06/02 13:24:27,  0,+406.0,+380.3,+419.4,LLLLLLLLLL,LLLL
       607,2015/06/02 13:24:29,  0,+405.3,+381.0,+420.3,LLLLLLLLLL,LLLL
       608,2015/06/02 13:24:31,  0,+404.6,+381.6,+421.2,LLLLLLLLLL,LLLL
       609,2015/06/02 13:24:33,  0,+404.6,+382.5,+421.5,LLLLLLLLLL,LLLL
       610,2015/06/02 13:24:35,  0,+404.4,+383.2,+422.2,LLLLLLLLLL,LLLL
       611,2015/06/02 13:24:37,  0,+406.9,+383.7,+422.8,LLLLLLLLLL,LLLL
       612,2015/06/02 13:24:39,  0,+407.5,+384.6,+423.5,LLLLLLLLLL,LLLL
       613,2015/06/02 13:24:41,  0,+407.7,+385.2,+424.2,LLLLLLLLLL,LLLL
       614,2015/06/02 13:24:43,  0,+406.6,+386.1,+424.8,LLLLLLLLLL,LLLL
       615,2015/06/02 13:24:45,  0,+406.6,+386.6,+425.3,LLLLLLLLLL,LLLL
       616,2015/06/02 13:24:47,  0,+408.4,+387.3,+426.0,LLLLLLLLLL,LLLL
       617,2015/06/02 13:24:49,  0,+409.8,+388.0,+426.6,LLLLLLLLLL,LLLL
       618,2015/06/02 13:24:51,  0,+412.2,+388.8,+427.3,LLLLLLLLLL,LLLL
       619,2015/06/02 13:24:53,  0,+411.8,+389.5,+428.0,LLLLLLLLLL,LLLL
       620,2015/06/02 13:24:55,  0,+409.8,+390.4,+429.1,LLLLLLLLLL,LLLL
       621,2015/06/02 13:24:57,  0,+411.8,+391.1,+430.0,LLLLLLLLLL,LLLL
       622,2015/06/02 13:24:59,  0,+413.6,+391.8,+431.1,LLLLLLLLLL,LLLL
       623,2015/06/02 13:25:01,  0,+414.7,+392.7,+431.8,LLLLLLLLLL,LLLL
       624,2015/06/02 13:25:03,  0,+415.9,+393.6,+432.3,LLLLLLLLLL,LLLL
       625,2015/06/02 13:25:05,  0,+416.7,+394.3,+433.0,LLLLLLLLLL,LLLL
       626,2015/06/02 13:25:07,  0,+418.6,+395.2,+434.1,LLLLLLLLLL,LLLL
       627,2015/06/02 13:25:09,  0,+419.5,+396.1,+434.8,LLLLLLLLLL,LLLL
       628,2015/06/02 13:25:11,  0,+420.8,+397.0,+435.6,LLLLLLLLLL,LLLL
       629,2015/06/02 13:25:13,  0,+421.5,+398.1,+436.3,LLLLLLLLLL,LLLL
       630,2015/06/02 13:25:15,  0,+421.7,+399.0,+437.0,LLLLLLLLLL,LLLL
       631,2015/06/02 13:25:17,  0,+421.0,+399.9,+437.7,LLLLLLLLLL,LLLL
       632,2015/06/02 13:25:19,  0,+421.0,+400.8,+438.4,LLLLLLLLLL,LLLL
       633,2015/06/02 13:25:21,  0,+420.4,+401.7,+439.7,LLLLLLLLLL,LLLL
       634,2015/06/02 13:25:23,  0,+420.6,+402.3,+440.2,LLLLLLLLLL,LLLL
       635,2015/06/02 13:25:25,  0,+419.4,+403.2,+440.8,LLLLLLLLLL,LLLL
       636,2015/06/02 13:25:27,  0,+419.2,+404.1,+441.3,LLLLLLLLLL,LLLL
       637,2015/06/02 13:25:29,  0,+419.7,+404.8,+442.0,LLLLLLLLLL,LLLL
       638,2015/06/02 13:25:31,  0,+421.2,+405.7,+442.8,LLLLLLLLLL,LLLL
       639,2015/06/02 13:25:33,  0,+421.2,+406.4,+443.5,LLLLLLLLLL,LLLL
       640,2015/06/02 13:25:35,  0,+420.4,+407.3,+444.2,LLLLLLLLLL,LLLL
       641,2015/06/02 13:25:37,  0,+422.1,+408.2,+444.9,LLLLLLLLLL,LLLL
       642,2015/06/02 13:25:39,  0,+423.3,+408.9,+445.5,LLLLLLLLLL,LLLL
       643,2015/06/02 13:25:41,  0,+424.2,+409.6,+446.2,LLLLLLLLLL,LLLL
       644,2015/06/02 13:25:43,  0,+425.1,+410.5,+446.9,LLLLLLLLLL,LLLL
       645,2015/06/02 13:25:45,  0,+423.1,+411.3,+447.6,LLLLLLLLLL,LLLL
       646,2015/06/02 13:25:47,  0,+425.7,+412.2,+448.9,LLLLLLLLLL,LLLL
       647,2015/06/02 13:25:49,  0,+428.9,+412.9,+449.6,LLLLLLLLLL,LLLL
       648,2015/06/02 13:25:51,  0,+430.2,+413.8,+450.7,LLLLLLLLLL,LLLL
       649,2015/06/02 13:25:53,  0,+431.4,+414.7,+451.4,LLLLLLLLLL,LLLL
       650,2015/06/02 13:25:55,  0,+432.7,+415.6,+451.9,LLLLLLLLLL,LLLL
       651,2015/06/02 13:25:57,  0,+433.6,+416.5,+452.8,LLLLLLLLLL,LLLL
       652,2015/06/02 13:25:59,  0,+434.3,+417.4,+453.6,LLLLLLLLLL,LLLL
       653,2015/06/02 13:26:01,  0,+435.4,+418.3,+454.1,LLLLLLLLLL,LLLL
       654,2015/06/02 13:26:03,  0,+436.8,+419.2,+454.8,LLLLLLLLLL,LLLL
       655,2015/06/02 13:26:05,  0,+435.7,+419.9,+455.5,LLLLLLLLLL,LLLL
       656,2015/06/02 13:26:07,  0,+435.6,+421.0,+456.1,LLLLLLLLLL,LLLL
       657,2015/06/02 13:26:09,  0,+436.3,+421.9,+456.8,LLLLLLLLLL,LLLL
       658,2015/06/02 13:26:11,  0,+435.0,+422.4,+457.9,LLLLLLLLLL,LLLL
       659,2015/06/02 13:26:13,  0,+435.6,+423.1,+458.1,LLLLLLLLLL,LLLL
       660,2015/06/02 13:26:15,  0,+435.4,+423.3,+458.6,LLLLLLLLLL,LLLL
       661,2015/06/02 13:26:17,  0,+435.6,+423.9,+458.8,LLLLLLLLLL,LLLL
       662,2015/06/02 13:26:19,  0,+435.0,+424.2,+459.3,LLLLLLLLLL,LLLL
       663,2015/06/02 13:26:21,  0,+435.0,+424.8,+459.7,LLLLLLLLLL,LLLL
       664,2015/06/02 13:26:23,  0,+435.7,+424.6,+460.2,LLLLLLLLLL,LLLL
       665,2015/06/02 13:26:25,  0,+436.5,+424.8,+460.6,LLLLLLLLLL,LLLL
       666,2015/06/02 13:26:27,  0,+436.6,+424.9,+461.5,LLLLLLLLLL,LLLL
       667,2015/06/02 13:26:29,  0,+438.1,+425.3,+461.8,LLLLLLLLLL,LLLL
       668,2015/06/02 13:26:31,  0,+440.4,+425.7,+462.6,LLLLLLLLLL,LLLL
       669,2015/06/02 13:26:33,  0,+441.3,+426.4,+463.3,LLLLLLLLLL,LLLL
       670,2015/06/02 13:26:35,  0,+439.0,+426.9,+464.2,LLLLLLLLLL,LLLL
       671,2015/06/02 13:26:37,  0,+440.8,+427.5,+465.1,LLLLLLLLLL,LLLL
       672,2015/06/02 13:26:39,  0,+443.5,+428.0,+465.6,LLLLLLLLLL,LLLL
       673,2015/06/02 13:26:41,  0,+445.3,+428.9,+466.5,LLLLLLLLLL,LLLL
       674,2015/06/02 13:26:43,  0,+446.2,+429.6,+467.1,LLLLLLLLLL,LLLL
       675,2015/06/02 13:26:45,  0,+446.7,+430.7,+467.8,LLLLLLLLLL,LLLL
       676,2015/06/02 13:26:47,  0,+448.2,+431.4,+468.3,LLLLLLLLLL,LLLL
       677,2015/06/02 13:26:49,  0,+447.8,+432.1,+469.0,LLLLLLLLLL,LLLL
       678,2015/06/02 13:26:51,  0,+449.1,+433.2,+469.6,LLLLLLLLLL,LLLL
       679,2015/06/02 13:26:53,  0,+449.8,+434.1,+470.1,LLLLLLLLLL,LLLL
       680,2015/06/02 13:26:55,  0,+451.2,+435.0,+470.7,LLLLLLLLLL,LLLL
       681,2015/06/02 13:26:57,  0,+450.5,+436.1,+471.4,LLLLLLLLLL,LLLL
       682,2015/06/02 13:26:59,  0,+449.6,+437.0,+472.3,LLLLLLLLLL,LLLL
       683,2015/06/02 13:27:01,  0,+450.0,+437.9,+473.4,LLLLLLLLLL,LLLL
       684,2015/06/02 13:27:03,  0,+450.3,+438.8,+473.5,LLLLLLLLLL,LLLL
       685,2015/06/02 13:27:05,  0,+451.2,+439.7,+474.1,LLLLLLLLLL,LLLL
       686,2015/06/02 13:27:07,  0,+451.9,+440.4,+474.3,LLLLLLLLLL,LLLL
       687,2015/06/02 13:27:09,  0,+450.1,+441.1,+474.6,LLLLLLLLLL,LLLL
       688,2015/06/02 13:27:11,  0,+450.3,+442.0,+474.8,LLLLLLLLLL,LLLL
       689,2015/06/02 13:27:13,  0,+450.5,+442.9,+474.6,LLLLLLLLLL,LLLL
       690,2015/06/02 13:27:15,  0,+450.9,+443.5,+475.0,LLLLLLLLLL,LLLL
       691,2015/06/02 13:27:17,  0,+450.5,+444.4,+475.5,LLLLLLLLLL,LLLL
       692,2015/06/02 13:27:19,  0,+450.9,+445.1,+476.2,LLLLLLLLLL,LLLL
       693,2015/06/02 13:27:21,  0,+451.4,+445.8,+477.0,LLLLLLLLLL,LLLL
       694,2015/06/02 13:27:23,  0,+451.9,+446.7,+477.9,LLLLLLLLLL,LLLL
       695,2015/06/02 13:27:25,  0,+450.3,+447.4,+478.9,LLLLLLLLLL,LLLL
       696,2015/06/02 13:27:27,  0,+453.2,+448.3,+479.7,LLLLLLLLLL,LLLL
       697,2015/06/02 13:27:29,  0,+456.4,+449.2,+480.4,LLLLLLLLLL,LLLL
       698,2015/06/02 13:27:31,  0,+458.4,+450.0,+481.5,LLLLLLLLLL,LLLL
       699,2015/06/02 13:27:33,  0,+460.0,+450.9,+482.2,LLLLLLLLLL,LLLL
       700,2015/06/02 13:27:35,  0,+459.7,+451.9,+483.1,LLLLLLLLLL,LLLL
       701,2015/06/02 13:27:37,  0,+461.1,+453.0,+484.0,LLLLLLLLLL,LLLL
       702,2015/06/02 13:27:39,  0,+461.8,+454.1,+484.7,LLLLLLLLLL,LLLL
       703,2015/06/02 13:27:41,  0,+463.1,+455.0,+485.4,LLLLLLLLLL,LLLL
       704,2015/06/02 13:27:43,  0,+464.7,+456.3,+486.3,LLLLLLLLLL,LLLL
       705,2015/06/02 13:27:45,  0,+464.4,+457.3,+487.2,LLLLLLLLLL,LLLL
       706,2015/06/02 13:27:47,  0,+464.2,+458.2,+487.9,LLLLLLLLLL,LLLL
       707,2015/06/02 13:27:49,  0,+463.3,+459.3,+488.7,LLLLLLLLLL,LLLL
       708,2015/06/02 13:27:51,  0,+462.0,+460.2,+489.7,LLLLLLLLLL,LLLL
       709,2015/06/02 13:27:53,  0,+463.6,+461.3,+490.5,LLLLLLLLLL,LLLL
       710,2015/06/02 13:27:55,  0,+462.0,+462.2,+491.2,LLLLLLLLLL,LLLL
       711,2015/06/02 13:27:57,  0,+461.8,+463.3,+491.9,LLLLLLLLLL,LLLL
       712,2015/06/02 13:27:59,  0,+462.0,+464.4,+492.6,LLLLLLLLLL,LLLL
       713,2015/06/02 13:28:01,  0,+462.6,+465.4,+493.3,LLLLLLLLLL,LLLL
       714,2015/06/02 13:28:03,  0,+457.7,+466.9,+494.6,LLLLLLLLLL,LLLL
       715,2015/06/02 13:28:05,  0,+446.2,+467.4,+493.0,LLLLLLLLLL,LLLL
       716,2015/06/02 13:28:07,  0,+441.3,+468.0,+494.8,LLLLLLLLLL,LLLL
       717,2015/06/02 13:28:09,  0,+441.7,+468.9,+496.9,LLLLLLLLLL,LLLL
       718,2015/06/02 13:28:11,  0,+442.2,+469.6,+498.6,LLLLLLLLLL,LLLL
       719,2015/06/02 13:28:13,  0,+443.1,+470.3,+499.6,LLLLLLLLLL,LLLL
       720,2015/06/02 13:28:15,  0,+445.6,+471.4,+500.4,LLLLLLLLLL,LLLL
       721,2015/06/02 13:28:17,  0,+449.8,+472.1,+501.8,LLLLLLLLLL,LLLL
       722,2015/06/02 13:28:19,  0,+452.1,+473.0,+502.9,LLLLLLLLLL,LLLL
       723,2015/06/02 13:28:21,  0,+456.3,+474.1,+504.1,LLLLLLLLLL,LLLL
       724,2015/06/02 13:28:23,  0,+457.7,+475.2,+504.1,LLLLLLLLLL,LLLL
       725,2015/06/02 13:28:25,  0,+443.5,+476.1,+497.7,LLLLLLLLLL,LLLL
       726,2015/06/02 13:28:27,  0,+414.3,+476.6,+479.8,LLLLLLLLLL,LLLL
       727,2015/06/02 13:28:29,  0,+401.9,+477.0,+462.2,LLLLLLLLLL,LLLL
       728,2015/06/02 13:28:31,  0,+396.1,+476.6,+434.3,LLLLLLLLLL,LLLL
       729,2015/06/02 13:28:33,  0,+388.2,+475.3,+431.4,LLLLLLLLLL,LLLL
       730,2015/06/02 13:28:35,  0,+382.3,+473.9,+413.2,LLLLLLLLLL,LLLL
       731,2015/06/02 13:28:37,  0,+372.7,+471.9,+376.7,LLLLLLLLLL,LLLL
       732,2015/06/02 13:28:39,  0,+368.6,+470.3,+368.1,LLLLLLLLLL,LLLL
       733,2015/06/02 13:28:41,  0,+362.5,+468.5,+375.3,LLLLLLLLLL,LLLL
       734,2015/06/02 13:28:43,  0,+361.8,+466.2,+283.6,LLLLLLLLLL,LLLL
       735,2015/06/02 13:28:45,  0,+360.5,+462.4,+232.0,LLLLLLLLLL,LLLL
       736,2015/06/02 13:28:47,  0,+355.8,+457.7,+323.6,LLLLLLLLLL,LLLL
       737,2015/06/02 13:28:49,  0,+355.3,+453.2,+310.6,LLLLLLLLLL,LLLL
       738,2015/06/02 13:28:51,  0,+357.4,+447.6,+309.9,LLLLLLLLLL,LLLL
       739,2015/06/02 13:28:53,  0,+355.6,+441.7,+293.4,LLLLLLLLLL,LLLL
       740,2015/06/02 13:28:55,  0,+352.4,+436.3,+289.4,LLLLLLLLLL,LLLL
       741,2015/06/02 13:28:57,  0,+352.2,+431.1,+283.1,LLLLLLLLLL,LLLL
       742,2015/06/02 13:28:59,  0,+353.5,+426.0,+282.2,LLLLLLLLLL,LLLL
       743,2015/06/02 13:29:01,  0,+355.3,+421.3,+279.9,LLLLLLLLLL,LLLL
       744,2015/06/02 13:29:03,  0,+362.7,+416.5,+277.3,LLLLLLLLLL,LLLL
       745,2015/06/02 13:29:05,  0,+369.9,+411.6,+273.9,LLLLLLLLLL,LLLL
       746,2015/06/02 13:29:07,  0,+375.8,+407.3,+270.5,LLLLLLLLLL,LLLL
       747,2015/06/02 13:29:09,  0,+382.1,+402.8,+267.3,LLLLLLLLLL,LLLL
       748,2015/06/02 13:29:11,  0,+388.8,+398.3,+264.6,LLLLLLLLLL,LLLL
       749,2015/06/02 13:29:13,  0,+396.1,+394.7,+260.8,LLLLLLLLLL,LLLL
       750,2015/06/02 13:29:15,  0,+402.1,+390.2,+258.1,LLLLLLLLLL,LLLL
       751,2015/06/02 13:29:17,  0,+406.0,+386.1,+255.9,LLLLLLLLLL,LLLL
       752,2015/06/02 13:29:19,  0,+408.9,+382.3,+253.2,LLLLLLLLLL,LLLL
       753,2015/06/02 13:29:21,  0,+414.1,+378.3,+250.7,LLLLLLLLLL,LLLL
       754,2015/06/02 13:29:23,  0,+418.1,+374.7,+249.8,LLLLLLLLLL,LLLL
       755,2015/06/02 13:29:25,  0,+420.6,+370.9,+248.2,LLLLLLLLLL,LLLL
       756,2015/06/02 13:29:27,  0,+421.9,+367.5,+246.7,LLLLLLLLLL,LLLL
       757,2015/06/02 13:29:29,  0,+423.7,+364.1,+244.9,LLLLLLLLLL,LLLL
       758,2015/06/02 13:29:31,  0,+426.2,+360.7,+243.0,LLLLLLLLLL,LLLL
       759,2015/06/02 13:29:33,  0,+426.6,+357.1,+241.3,LLLLLLLLLL,LLLL
       760,2015/06/02 13:29:35,  0,+427.6,+353.8,+239.5,LLLLLLLLLL,LLLL
       761,2015/06/02 13:29:37,  0,+429.1,+350.8,+238.3,LLLLLLLLLL,LLLL
       762,2015/06/02 13:29:39,  0,+431.1,+347.4,+236.5,LLLLLLLLLL,LLLL
       763,2015/06/02 13:29:41,  0,+433.4,+344.5,+235.2,LLLLLLLLLL,LLLL
       764,2015/06/02 13:29:43,  0,+433.9,+341.4,+233.6,LLLLLLLLLL,LLLL
