Vendor,"GRAPHTEC Corporation"
Model,"GL220"
Version,"Ver1.05  "
Sampling interval,2s
Total data points,607       
Start time,2015-05-29,12:48:04
End time,2015-05-29,13:08:17
Trigger time,2015-05-29,12:48:04
AMP settings
CH,Signal name,Input,Range,Filter,Span
CH1," CH 1",TEMP,TC_K,Off,+440.0,+140.0,[degF]
Logic/Pulse,Off
Data
Number,Date&Time,ms,CH1,Alarm1  -10 ,Alarm Out
NO.,Time, ms,"degF","A12345678910","AO1234"
         1,2015/05/29 12:48:04,  0,+194.0,LLLLLLLLLL,LLLL
         2,2015/05/29 12:48:06,  0,+193.6,LLLLLLLLLL,LLLL
         3,2015/05/29 12:48:08,  0,+193.6,LLLLLLLLLL,LLLL
         4,2015/05/29 12:48:10,  0,+193.5,LLLLLLLLLL,LLLL
         5,2015/05/29 12:48:12,  0,+193.5,LLLLLLLLLL,LLLL
         6,2015/05/29 12:48:14,  0,+193.3,LLLLLLLLLL,LLLL
         7,2015/05/29 12:48:16,  0,+193.3,LLLLLLLLLL,LLLL
         8,2015/05/29 12:48:18,  0,+193.1,LLLLLLLLLL,LLLL
         9,2015/05/29 12:48:20,  0,+193.3,LLLLLLLLLL,LLLL
        10,2015/05/29 12:48:22,  0,+193.5,LLLLLLLLLL,LLLL
        11,2015/05/29 12:48:24,  0,+193.1,LLLLLLLLLL,LLLL
        12,2015/05/29 12:48:26,  0,+193.1,LLLLLLLLLL,LLLL
        13,2015/05/29 12:48:28,  0,+193.1,LLLLLLLLLL,LLLL
        14,2015/05/29 12:48:30,  0,+193.3,LLLLLLLLLL,LLLL
        15,2015/05/29 12:48:32,  0,+193.5,LLLLLLLLLL,LLLL
        16,2015/05/29 12:48:34,  0,+193.6,LLLLLLLLLL,LLLL
        17,2015/05/29 12:48:36,  0,+193.6,LLLLLLLLLL,LLLL
        18,2015/05/29 12:48:38,  0,+194.2,LLLLLLLLLL,LLLL
        19,2015/05/29 12:48:40,  0,+194.2,LLLLLLLLLL,LLLL
        20,2015/05/29 12:48:42,  0,+194.4,LLLLLLLLLL,LLLL
        21,2015/05/29 12:48:44,  0,+194.5,LLLLLLLLLL,LLLL
        22,2015/05/29 12:48:46,  0,+194.5,LLLLLLLLLL,LLLL
        23,2015/05/29 12:48:48,  0,+194.5,LLLLLLLLLL,LLLL
        24,2015/05/29 12:48:50,  0,+194.7,LLLLLLLLLL,LLLL
        25,2015/05/29 12:48:52,  0,+194.5,LLLLLLLLLL,LLLL
        26,2015/05/29 12:48:54,  0,+194.5,LLLLLLLLLL,LLLL
        27,2015/05/29 12:48:56,  0,+194.7,LLLLLLLLLL,LLLL
        28,2015/05/29 12:48:58,  0,+194.7,LLLLLLLLLL,LLLL
        29,2015/05/29 12:49:00,  0,+194.7,LLLLLLLLLL,LLLL
        30,2015/05/29 12:49:02,  0,+194.5,LLLLLLLLLL,LLLL
        31,2015/05/29 12:49:04,  0,+194.5,LLLLLLLLLL,LLLL
        32,2015/05/29 12:49:06,  0,+194.7,LLLLLLLLLL,LLLL
        33,2015/05/29 12:49:08,  0,+194.9,LLLLLLLLLL,LLLL
        34,2015/05/29 12:49:10,  0,+194.7,LLLLLLLLLL,LLLL
        35,2015/05/29 12:49:12,  0,+194.5,LLLLLLLLLL,LLLL
        36,2015/05/29 12:49:14,  0,+194.5,LLLLLLLLLL,LLLL
        37,2015/05/29 12:49:16,  0,+194.0,LLLLLLLLLL,LLLL
        38,2015/05/29 12:49:18,  0,+193.8,LLLLLLLLLL,LLLL
        39,2015/05/29 12:49:20,  0,+193.6,LLLLLLLLLL,LLLL
        40,2015/05/29 12:49:22,  0,+193.5,LLLLLLLLLL,LLLL
